dependency,color
AWTAccessor,#ff0000
AWTAutoShutdown,#ff005
AWTEvent,#ff00a
AWTEvent$1,#ff00f
AWTEventMulticaster,#ff0014
AWTKeyStroke,#ff0019
AbstractButton,#ff001f
AbstractButton$Handler,#ff0024
AccessController,#ff0029
AccessibleContext,#ff002e
AncestorNotifier,#ff0033
AppContext,#ff0038
AppContext$2,#ff003e
AppContext$3,#ff0043
ArrayList$ArrayListSpliterator,#ff0048
ArrayTable,#ff004d
BorderLayout,#ff0052
Box,#ff0057
Box$Filler,#ff005d
BoxLayout,#ff0062
BufferStrategyPaintManager,#ff0067
BufferStrategyPaintManager$BufferInfo,#ff006c
Button,#ff0071
ButtonGroup,#ff0076
CachedPainter,#ff007c
CachedPainter$PainterMultiResolutionCachedImage,#ff0081
Canvas,#ff0086
CardLayout,#ff008b
CellRendererPane,#ff0090
Class,#ff0095
ClientPropertyKey,#ff009b
Collection,#ff00a0
Collections$SynchronizedMap,#ff00a5
Color,#ff00aa
Component,#ff00af
Component$1,#ff00b4
Component$BltBufferStrategy,#ff00ba
Component$BltSubRegionBufferStrategy,#ff00bf
ComponentFactory,#ff00c4
ComponentInputMap,#ff00c9
CompositeStrike,#ff00ce
Container,#ff00d3
Container$MouseEventTargetFilter,#ff00d9
Cursor,#ff00de
Cursor$1,#ff00e3
CustomCursor,#ff00e8
DataFlavorUtil,#ff00ed
DefaultBoundedRangeModel,#ff00f2
DefaultButtonModel,#ff00f8
DefaultKeyboardFocusManager,#ff00fd
DefaultKeyboardFocusManager$DefaultKeyboardFocusManagerSentEvent,#fb00ff
DefaultListCellRenderer,#f600ff
DefaultListCellRenderer$UIResource,#f100ff
DefaultLookup,#ec00ff
Desktop,#e600ff
Dialog,#e100ff
Dimension,#dc00ff
EmbeddedFrame,#d700ff
EventDispatchThread,#d200ff
EventDispatchThread$HierarchyEventFilter,#cd00ff
EventQueue,#c700ff
EventQueue$2,#c200ff
EventQueue$4,#bd00ff
EventQueue$5,#b800ff
EventQueue$6,#b300ff
ExtendedKeyCodes,#ae00ff
FcFontManager,#a800ff
FileFont,#a300ff
FileFontStrike,#9e00ff
FlowLayout,#9900ff
Font,#9400ff
Font$FontAccessImpl,#8f00ff
Font2D,#8900ff
FontDesignMetrics,#8400ff
FontDesignMetrics$MetricsKey,#7f00ff
FontManagerFactory,#7a00ff
FontManagerFactory$1,#7500ff
FontStrikeDesc,#6f00ff
FontUtilities,#6a00ff
Frame,#6500ff
GlobalCursorManager,#6000ff
GlobalCursorManager$NativeUpdater,#5b00ff
GlyphLayout,#5600ff
GlyphLayout$EngineRecord,#5000ff
GlyphLayout$GVData,#4b00ff
GlyphLayout$SDCache,#4600ff
GlyphLayout$SDCache$SDKey,#4100ff
GlyphList,#3c00ff
Graphics,#3700ff
GraphicsCallback$PaintCallback,#3100ff
GraphicsConfiguration,#2c00ff
GraphicsEnvironment,#2700ff
GraphicsEnvironment$LocalGE,#2200ff
GridBagLayout,#1d00ff
GridLayout,#1800ff
HashMap,#1200ff
HashSet,#d00ff
Hashtable,#800ff
IconInfo,#300ff
Image,#001ff
Image$1,#006ff
ImageIcon,#00cff
ImageMediaEntry,#0011ff
InputMap,#0016ff
Insets,#001bff
JButton,#0020ff
JCheckBoxMenuItem,#0025ff
JComboBox,#002bff
JComboBox$1,#0030ff
JComponent,#0035ff
JDialog,#003aff
JFrame,#003fff
JLabel,#0044ff
JLayer,#004aff
JLayer$LayerEventController,#004fff
JLayer$LayerEventController$1,#0054ff
JLayer$LayerEventController$2,#0059ff
JLayeredPane,#005eff
JList,#0063ff
JMenu,#0069ff
JMenuBar,#006eff
JMenuItem,#0073ff
JPanel,#0078ff
JPopupMenu,#007dff
JPopupMenu$AccessibleJPopupMenu,#0082ff
JPopupMenu$Separator,#0088ff
JRadioButton,#008dff
JRootPane,#0092ff
JRootPane$RootLayout,#0097ff
JScrollBar,#009cff
JScrollBar$ModelListener,#00a1ff
JScrollPane,#00a7ff
JScrollPane$ScrollBar,#00acff
JSeparator,#00b1ff
JTextArea,#00b6ff
JTextField,#00bbff
JTextField$ScrollRepainter,#00c0ff
JToggleButton,#00c6ff
JToggleButton$ToggleButtonModel,#00cbff
JToolBar,#00d0ff
JToolBar$DefaultToolBarLayout,#00d5ff
JToolBar$Separator,#00daff
JToolTip,#00dfff
JViewport,#00e5ff
JViewport$ViewListener,#00eaff
JWindow,#00efff
KeyStroke,#00f4ff
KeyboardFocusManager,#00f9ff
KeyboardFocusManager$1,#00fffe
KeyboardFocusManager$2,#00fff9
KeyboardFocusManager$3,#00fff4
KeyboardFocusManager$4,#00ffef
KeyboardFocusManagerPeerImpl,#00ffea
KeyboardManager,#00ffe5
KeyboardManager$ComponentKeyStrokePair,#00ffdf
Label,#00ffda
LayoutFocusTraversalPolicy,#00ffd5
LightweightDispatcher,#00ffd0
LightweightDispatcher$1,#00ffcb
LightweightDispatcher$2,#00ffc6
LookAndFeel,#00ffc0
MediaEntry,#00ffbb
MediaTracker,#00ffb6
MenuItemLayoutHelper,#00ffb1
MenuSelectionManager,#00ffac
MultiUIDefaults,#00ffa7
NullComponentPeer,#00ffa1
NullSurfaceData,#00ff9c
Objects,#00ff97
PaintEventDispatcher,#00ff92
Panel,#00ff8d
Point,#00ff88
Polygon,#00ff82
Polygon$PolygonPathIterator,#00ff7d
Popup,#00ff78
PopupFactory,#00ff73
PopupFactory$ContainerPopup,#00ff6e
PopupFactory$LightWeightPopup,#00ff69
PostEventQueue,#00ff63
PropertyChangeSupport,#00ff5e
ProtectionDomain$JavaSecurityAccessImpl,#00ff59
Rectangle,#00ff54
RenderingHints,#00ff4f
RenderingHints$Key,#00ff4a
RepaintArea,#00ff44
RepaintManager,#00ff3f
RepaintManager$4,#00ff3a
RepaintManager$ProcessingRunnable,#00ff35
Robot,#00ff30
RuleBasedBreakIterator,#00ff2b
ScrollPaneLayout,#00ff25
SentEvent,#00ff20
SequencedEvent,#00ff1b
SequencedEvent$1,#00ff16
ServiceLoader$2,#00ff11
ServiceLoader$3,#00ffc
ServiceLoader$LazyClassPathLookupIterator,#00ff6
SoftCache,#00ff1
SortingFocusTraversalPolicy,#3ff00
StandardGlyphVector,#8ff00
StandardGlyphVector$GlyphStrike,#dff00
StateTrackableDelegate,#12ff00
String,#18ff00
SunDisplayChanger,#1dff00
SunFontManager,#22ff00
SunFontManager$2,#27ff00
SunGraphics2D,#2cff00
SunGraphicsCallback,#31ff00
SunGraphicsEnvironment,#37ff00
SunHints$Key,#3cff00
SunHints$LCDContrastKey,#41ff00
SunHints$Value,#46ff00
SunLayoutEngine,#4bff00
SunToolkit,#50ff00
SurfaceData,#56ff00
SurfaceDataProxy,#5bff00
SurfaceManagerFactory,#60ff00
SwingPaintEventDispatcher,#65ff00
SwingUtilities,#6aff00
SwingUtilities$SharedOwnerFrame,#6fff00
SwingUtilities2,#75ff00
SwingUtilities2$KeyPair,#7aff00
SwingUtilities2$LSBCacheEntry,#7fff00
SystemColor,#84ff00
SystemTray,#89ff00
Thread,#8fff00
Timer,#94ff00
Timer$1,#99ff00
Timer$DoPostEvent,#9eff00
TimerQueue,#a3ff00
ToolTipManager,#a8ff00
ToolTipManager$AccessibilityKeyListener,#aeff00
ToolTipManager$insideTimerAction,#b3ff00
ToolTipManager$outsideTimerAction,#b8ff00
Toolkit,#bdff00
Toolkit$2,#c2ff00
Toolkit$DesktopPropertyChangeSupport,#c7ff00
Toolkit$DesktopPropertyChangeSupport$1,#cdff00
Toolkit$SelectiveAWTEventListener,#d2ff00
Toolkit$ToolkitEventMulticaster,#d7ff00
TransferHandler,#dcff00
TransferHandler$SwingDropTarget,#e1ff00
TrayIcon,#e6ff00
UIDefaults,#ecff00
UIDefaults$LazyInputMap,#f1ff00
UIManager,#f6ff00
UNIXToolkit,#fbff00
URL,#fffd00
URLConnection,#fff800
UnixSurfaceManagerFactory,#fff200
VKCollection,#ffed00
ViewportLayout,#ffe800
WeakHashMap,#ffe300
WeakIdentityHashMap,#ffde00
WeakIdentityHashMap$WeakKey,#ffd900
Window,#ffd300
Window$1DisposeAction,#ffce00
X11,#ffc900
X11CustomCursor,#ffc400
X11FontManager,#ffbf00
X11GraphicsConfig,#ffba00
X11GraphicsDevice,#ffb400
X11GraphicsEnvironment,#ffaf00
X11GraphicsEnvironment$1,#ffaa00
X11InputMethod,#ffa500
X11InputMethodBase,#ffa000
XRGlyphCache,#ff9b00
XRTextRenderer,#ff9500
XSettings,#ff9000
border,#ff8b00
cmm,#ff8600
color,#ff8100
concurrent,#ff7c00
datatransfer,#ff7600
dnd,#ff7100
event,#ff6c00
font,#ff6700
geom,#ff6200
im,#ff5d00
image,#ff5700
java,#ff5200
keymap,#ff4d00
loops,#ff4800
marlin,#ff4300
org,#ff3e00
parsers,#ff3800
pipe,#ff3300
plaf,#ff2e00
reflect,#ff2900
sax,#ff2400
sp,#ff1f00
stream,#ff1900
text,#ff1400
util,#fff00
x11,#ffa00
xr,#ff500
