dependency,color
AWTEvent,#ff0000
AWTEventMulticaster,#ff003a
AccessController,#ff0075
Component,#ff00b0
Component$1,#ff00eb
Container,#d700ff
DefaultKeyboardFocusManager,#9c00ff
EventDispatchThread,#6200ff
EventQueue,#2700ff
EventQueue$4,#0013ff
EventQueue$5,#004eff
JComponent,#0089ff
KeyboardFocusManager,#00c4ff
LightweightDispatcher,#00feff
ProtectionDomain$JavaSecurityAccessImpl,#00ffc4
SwingUtilities,#00ff89
TransferHandler,#00ff4e
TransferHandler$TransferAction,#00ff13
TransferHandler$TransferAction$1,#27ff00
TransferHandler$TransferAction$2,#62ff00
Window,#9cff00
X11,#d7ff00
X11GraphicsConfig,#ffeb00
datatransfer,#ffb000
event,#ff7500
text,#ff3a00
