dependency,color
AWTAccessor,#ff0000
AWTAutoShutdown,#ff0006
AWTEvent,#ff000d
AWTEvent$1,#ff0014
AWTEventMulticaster,#ff001b
AWTKeyStroke,#ff0022
AbstractButton,#ff0028
AbstractButton$Handler,#ff002f
AccessController,#ff0036
AppContext,#ff003d
AppContext$2,#ff0044
AppContext$3,#ff004b
ArrayTable,#ff0051
Arrays,#ff0058
BorderLayout,#ff005f
BoxLayout,#ff0066
BufferStrategyPaintManager,#ff006d
BufferStrategyPaintManager$BufferInfo,#ff0074
CachedPainter,#ff007a
CachedPainter$PainterMultiResolutionCachedImage,#ff0081
CellRendererPane,#ff0088
Class,#ff008f
ClientPropertyKey,#ff0096
Collections$SynchronizedMap,#ff009d
Color,#ff00a3
ComparableTimSort,#ff00aa
Component,#ff00b1
Component$1,#ff00b8
Component$BltBufferStrategy,#ff00bf
Component$BltSubRegionBufferStrategy,#ff00c6
ComponentFactory,#ff00cc
ComponentInputMap,#ff00d3
CompositeStrike,#ff00da
Container,#ff00e1
Container$MouseEventTargetFilter,#ff00e8
Cursor,#ff00ef
Cursor$1,#ff00f5
CustomCursor,#ff00fc
DefaultBoundedRangeModel,#fa00ff
DefaultButtonModel,#f300ff
DefaultKeyboardFocusManager,#ec00ff
DefaultKeyboardFocusManager$DefaultKeyboardFocusManagerSentEvent,#e500ff
DefaultListCellRenderer,#df00ff
DefaultListCellRenderer$UIResource,#d800ff
DefaultListSelectionModel,#d100ff
DefaultLookup,#ca00ff
Dimension,#c300ff
EventDispatchThread,#bc00ff
EventDispatchThread$HierarchyEventFilter,#b600ff
EventQueue,#af00ff
EventQueue$2,#a800ff
EventQueue$4,#a100ff
EventQueue$5,#9a00ff
EventQueue$6,#9300ff
FcFontManager,#8d00ff
FileFont,#8600ff
FileFontStrike,#7f00ff
FlowLayout,#7800ff
FocusTraversalPolicy,#7100ff
Font,#6b00ff
Font$FontAccessImpl,#6400ff
Font2D,#5d00ff
FontDesignMetrics,#5600ff
FontDesignMetrics$MetricsKey,#4f00ff
FontManagerFactory,#4800ff
FontManagerFactory$1,#4200ff
FontMetrics,#3b00ff
FontStrikeDesc,#3400ff
FontUtilities,#2d00ff
Frame,#2600ff
GlobalCursorManager,#1f00ff
GlobalCursorManager$NativeUpdater,#1900ff
Graphics,#1200ff
GraphicsCallback$PaintCallback,#0b00ff
