host,dnt,user-agent,accept,accept-encoding,accept-language,ad,canvas,cookies,font-flash,language-flash,platform-flash,languages-js,platform,plugins,screen_width,screen_height,screen_depth,storage_local,storage_session,timezone,userAgent-js,webGLVendor,webGLRenderer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1
0,0,2,2,0,2,1,2,0,0,0,0,2,2,2,2,2,2,0,0,2,2,2,2
0,0,3,0,0,3,1,3,0,0,0,0,3,2,0,3,3,0,0,0,3,3,3,3
0,0,4,0,0,4,1,4,0,0,0,0,4,2,0,1,1,0,0,0,4,4,3,3
0,0,5,3,0,5,0,5,0,0,0,0,5,0,3,4,4,0,0,0,1,5,0,4
0,0,6,3,1,6,1,6,0,0,0,0,6,1,1,2,5,0,0,0,3,6,3,5
0,0,7,3,2,7,1,7,0,0,0,0,7,0,4,5,6,0,0,0,4,7,0,6
0,0,8,0,0,3,1,8,0,0,0,0,3,2,0,3,7,0,0,0,5,8,3,7
0,0,3,0,0,8,0,9,0,0,0,0,8,2,0,3,3,0,0,0,4,3,3,8
0,1,9,2,0,2,1,10,0,0,0,0,2,2,0,3,3,0,0,0,6,9,4,9
0,0,10,0,0,3,1,3,0,0,0,0,3,2,5,3,3,0,0,0,2,10,3,3
0,1,11,1,0,9,1,11,0,1,1,1,9,2,6,3,7,0,0,0,7,11,3,10
0,1,12,1,0,10,0,12,0,1,1,1,10,3,7,3,3,0,0,0,8,12,5,11
0,1,13,1,0,11,1,13,0,0,0,0,11,0,1,6,8,0,0,0,4,13,0,12
0,1,9,2,0,3,1,10,0,0,0,0,3,2,0,3,3,0,0,0,6,9,4,9
0,1,13,1,0,12,1,13,0,0,0,0,3,0,1,5,6,0,0,0,4,13,6,13
0,0,14,3,0,12,1,14,0,0,0,0,3,4,1,3,3,3,0,0,1,14,2,2
0,0,15,3,0,13,0,15,0,0,0,0,6,5,1,7,9,1,0,0,4,15,7,14
0,0,5,3,0,13,1,16,0,1,1,1,6,0,8,0,0,0,0,0,0,5,6,15
1,0,16,4,1,6,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,1,13,1,0,11,3,18,2,3,3,3,13,7,10,9,11,5,2,2,10,17,9,17
0,1,13,1,0,11,1,13,0,0,0,0,11,0,1,6,8,0,0,0,4,13,0,12
0,1,17,1,0,14,0,19,0,1,1,1,14,2,6,4,12,0,0,0,4,18,3,18
1,0,18,3,3,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,19,2,0,15,1,20,0,0,0,0,15,2,0,2,1,0,0,0,11,19,3,19
0,1,13,1,0,11,1,13,0,0,0,0,11,0,1,6,8,0,0,0,4,13,0,12
1,0,18,3,3,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
1,0,18,3,3,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
2,1,17,1,0,12,1,11,0,0,0,0,3,2,1,3,3,0,0,0,12,18,3,20
0,0,4,2,0,2,1,21,0,0,0,0,2,2,0,3,3,0,0,0,2,4,3,21
1,0,18,3,3,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
2,1,20,5,0,3,0,22,0,0,0,0,3,2,11,3,3,0,0,0,12,20,3,20
0,0,4,2,0,16,1,23,0,0,0,0,2,2,1,1,1,0,0,0,13,9,4,9
1,0,6,3,1,6,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,21,3,0,13,1,15,0,0,0,0,16,5,1,7,9,1,0,0,0,21,7,14
0,1,13,1,0,11,1,13,0,0,0,0,11,0,1,6,8,0,0,0,4,13,0,12
0,0,17,1,0,1,1,24,0,0,0,0,1,2,1,3,3,0,0,0,1,18,3,22
0,0,22,2,0,2,1,25,0,0,0,0,2,2,0,3,3,0,0,0,2,22,3,23
2,1,23,1,0,12,1,26,0,0,0,0,3,2,1,3,3,0,0,0,1,23,3,20
0,0,24,0,0,17,0,27,0,0,0,0,17,8,1,10,13,0,0,0,4,24,2,2
0,0,25,2,0,2,1,28,0,0,0,0,2,2,0,11,0,0,0,0,14,9,4,9
0,0,26,0,0,18,1,29,0,0,0,0,16,2,1,12,14,3,0,0,0,25,10,24
0,1,13,1,0,11,1,13,0,0,0,0,11,0,1,6,8,0,0,0,4,13,0,12
1,0,27,3,0,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,28,2,0,2,1,30,0,0,0,0,2,2,0,1,1,0,0,0,15,9,4,9
0,0,4,0,0,3,0,8,0,0,0,0,3,2,0,3,3,0,0,0,0,4,3,25
2,0,24,0,0,17,0,27,0,0,0,0,17,8,1,13,15,0,0,0,4,24,2,2
0,1,27,1,0,1,0,14,0,0,0,0,1,2,1,14,16,0,0,0,1,26,2,2
0,2,29,2,0,3,1,27,0,0,0,0,3,2,12,1,1,0,0,0,16,27,2,2
1,1,13,1,0,11,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,1,30,0,0,3,0,31,0,0,0,0,6,2,13,15,17,0,0,0,11,28,11,26
0,1,31,0,0,19,0,27,0,0,0,0,18,1,14,2,18,0,0,0,1,29,2,2
0,1,32,3,0,12,1,32,0,0,0,0,3,9,1,16,19,0,0,0,4,30,2,2
2,1,30,0,0,3,0,3,0,0,0,0,6,2,13,15,17,0,0,0,11,28,3,23
0,0,33,1,0,11,0,33,0,1,1,1,11,2,15,3,3,0,0,0,4,31,3,27
0,0,34,1,0,12,1,34,0,0,0,0,3,1,1,5,6,0,0,0,3,32,1,28
0,1,17,1,0,20,1,11,0,0,0,0,19,2,1,1,1,0,0,0,11,18,3,23
0,1,17,1,0,21,0,35,0,0,0,0,20,2,1,3,3,0,0,0,11,18,3,8
0,1,35,1,0,12,0,36,0,0,0,0,3,1,1,3,3,0,0,0,3,33,1,29
0,1,17,1,0,21,1,35,0,0,0,0,20,2,1,3,3,0,0,0,11,18,3,8
2,1,30,0,0,3,0,3,0,0,0,0,6,2,13,15,17,0,0,0,11,28,3,23
0,1,17,1,0,22,0,11,0,1,1,1,21,2,6,4,5,0,0,0,4,18,3,30
0,0,36,0,0,3,1,37,0,0,0,0,3,1,0,4,4,0,0,0,0,34,1,31
0,0,19,2,0,15,1,20,0,0,0,0,15,2,0,2,1,0,0,0,11,19,3,19
0,0,37,2,0,15,1,38,0,0,0,0,15,2,0,4,1,0,0,0,11,35,3,32
0,1,11,1,0,12,1,35,0,0,0,0,3,2,1,1,1,0,0,0,4,11,3,33
0,0,38,0,0,19,0,39,0,0,0,0,18,0,0,12,14,0,0,0,7,36,6,34
2,0,27,3,0,12,1,14,0,0,0,0,3,2,1,17,20,0,0,0,1,26,2,2
0,1,13,1,0,1,1,13,0,0,0,0,1,0,1,6,8,0,0,0,1,13,0,12
