loam,googlefonts/Inconsolata;emacs-mirror/emacs;processing/p5.js;rust-lang/rust;rust-lang/cargo;ritwickdey/vscode-live-server;rtyley/bfg-repo-cleaner;electro-smith/libDaisy;festvox/festival;supercollider/supercollider;supercollider/sc3-plugins;coqui-ai/TTS;arduino/arduino-ide;arduino/Arduino;PipeWire/pipewire;jackaudio/jack2;LibreOffice/core;inkscape/inkscape;espressif/arduino-esp32;arduino/ArduinoCore-API;meta-llama/llama-models;github/docs;github/rest-api-description;signalapp/Signal-Android;signalapp/Signal-Desktop;ProtonMail/WebClients;nextcloud/server;nextcloud/spreed;nextcloud/talk-android;nextcloud/text;nextcloud/collectives;GNOME/gimp;i3/i3.github.io;KDE/plasma-desktop;huggingface/chat-ui;rust-embedded/cortex-m;rust-embedded/bare-metal;djc/rustc-version-rs;dtolnay/semver;steveklabnik/semver-parser;rust-embedded/critical-section;rust-embedded/embedded-hal;rust-embedded/nb;rust-embedded/volatile-register;rust-embedded/cortex-m;dtolnay/proc-macro2;dtolnay/unicode-ident;dtolnay/quote;dtolnay/syn;rtic-rs/rtic;indexmap-rs/indexmap;rust-lang/hashbrown;cuviper/autocfg;rust-embedded/embedded-alloc;tarcieri/micromath;stm32-rs/stm32h7xx-hal;korken89/fugit;rust-lang/libm;rust-lang/log;rust-num/num-traits;probe-rs/rtt-target;notepad-plus-plus/notepad-plus-plus;image-rs/image;hideakitai/ESP32SPISlave;Makerfabs/Makerfabs-ESP32-UWB-DW3000
apocryph,NVlabs/stylegan2;autonomousvision/projected-gan;textmate/textmate;openframeworks/openFrameworks
megatouch,WebAudio/web-audio-api;WebAudio/web-midi-api;KhronosGroup/WebGL;KhronosGroup/GLSL;KhronosGroup/glslang
dear-ai,sveltejs/svelte;microsoft/TypeScript;vitejs/vite;brandongmwong/elizabot-js;nodemailer/nodemailer;pocketbase/pocketbase;sass/sass;moment/moment;openai/openai-node;carstenlebek/svelte-email;nolimits4web/swiper;keenethics/svelte-notifications;joshnuss/svelte-persisted-store;sc00/svelte-textarea-auto-height;mozman/svgwrite;matplotlib/matplotlib;scikit-learn/scikit-learn;scipy/scipy;btel/svg_utils;numpy/numpy;kirovj/pocketbase-pyclient;sjvasquez/handwriting-synthesis;otuva/handwriting-synthesis;mossblaser/plottie;caprover/caprover;tensorflow/tensorflow
glommen,mrdoob/three.js
infinite-sand-sorter,nodejs/node;npm/cli;VSCodium/vscodium
why-am-i-seeing-this,HandBrake/HandBrake;videolan/vlc;brave/brave-browser;brave/brave-core
relaxrelaxrelax,signalapp/Signal-iOS;processing/processing
pain-creature,BelaPlatform/Bela
a-not-so-distant-past,EnvelopSound/EnvelopForLive;TU-Studio/IEMPluginSuite
